Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
02:23:22:03.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:04.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:05.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:06.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:07.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:08.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:09.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:10.798,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:11.799,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:12.799,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:13.799,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:14.799,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:15.799,61,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:16.800,61,0.0,0.125,0.0625,0.0,0.0,0.125,0.0625,0.0,0.125,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0625,0.0625,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:17.800,61,0.0,0.125,0.0625,0.0,0.0,0.125,0.0625,0.0,0.125,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0625,0.0625,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:18.800,61,0.0625,0.125,0.0625,0.0,0.0,0.125,0.0,0.0625,0.125,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.25,0.25,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:19.800,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.4375,0.4375,0.125,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.125,0.0
02:23:22:20.800,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.5625,0.5625,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.125,0.1875,0.0
02:23:22:21.800,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.5625,0.5625,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:22.800,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.5625,0.5625,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:23.800,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.5625,0.5625,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:24.800,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.5,0.5,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:25.801,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.5,0.5,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:26.801,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.5,0.4375,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:27.801,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.4375,0.4375,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:28.801,61,0.125,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.4375,0.4375,0.1875,0.0,0.0,0.0625,0.1875,0.1875,0.1875,0.1875,0.0
02:23:22:29.801,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0,0.375,0.375,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:00.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0625,0.375,0.375,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:01.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0625,0.375,0.375,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:02.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0,0.0625,0.375,0.375,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:03.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0625,0.0625,0.3125,0.3125,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:04.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0625,0.0625,0.3125,0.3125,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:05.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0625,0.0625,0.3125,0.3125,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:06.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0625,0.0625,0.3125,0.3125,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
02:23:23:07.802,61,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.1875,0.0625,0.0625,0.3125,0.3125,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0
