Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
01:39:07:27.071,61,0.00349612,0.031340916,0.022718092,0,0,0.159403324,0.13699019,0.003500473,0.031106036,0.108220667,0,0,0.159470171,0.137002647,0.044533573,0,0.03098008,0.136692405,0.12108887,0.131976724,0.073223181,0,0.014204412,0.09561535,0.136754692,0,0,0.037776656,0.041539099,0.143749878,0.155597463,0.049668446,0.024986701,0.074360214,0.054789353,0.044789542,0.04253472,0.253460944,0.264267087,0.082487971,0.087258384,0,0,0.178390876,0.087609001,0.087714657,0.027886307,0.232842475,0.257319808,0.17580159,0.175537184,0.000034926
01:39:07:28.071,61,0.003214781,0.027082734,0.026199523,0,0,0.166843444,0.135684684,0.003218792,0.026861087,0.104893588,0,0,0.166955069,0.13570495,0.042564068,0,0.028635001,0.122731246,0.13002798,0.079027988,0.073272124,0,0.013355869,0.151269615,0.189114943,0,0,0.038081784,0.041968197,0.134857237,0.143099606,0.051922388,0.025583502,0.075184658,0.054138072,0.044389524,0.042135406,0.223737016,0.230129138,0.052535065,0.054465275,0,0,0.175067514,0.079253584,0.079393879,0.02765776,0.234563604,0.258779645,0.16567266,0.169125885,3.89439E-05
01:39:07:29.071,61,0.002957129,0.024270998,0.029371606,0,0,0.168838486,0.134144098,0.002960824,0.024058467,0.101780154,0,0,0.168964371,0.134168327,0.041682959,0,0.027065292,0.117135048,0.148661062,0.06560538,0.073690288,0,0.012501866,0.165421277,0.202537894,0,0,0.038526569,0.042442933,0.130008727,0.136914626,0.056680549,0.028899163,0.075259477,0.050794762,0.043952476,0.041734189,0.213751286,0.217841521,0.044040781,0.045313895,0,0,0.164991528,0.062188018,0.06230082,0.027540164,0.231765658,0.254116356,0.158489093,0.164388984,4.86332E-05
01:39:08:00.072,61,0.002720689,0.031732455,0.027792864,0,0,0.163234875,0.114248171,0.002724091,0.031503975,0.103394032,0,0,0.163341045,0.114281476,0.041195903,0,0.026803544,0.189086974,0.148924291,0.114786826,0.073792234,0,0.011798557,0.167426884,0.19310385,0,0,0.039082356,0.042993855,0.128138781,0.134643078,0.056684293,0.029995507,0.071359374,0.049481679,0.043390147,0.041197252,0.32325837,0.330316514,0.060462795,0.068295658,0,0,0.161357045,0.048242353,0.048364397,0.026717145,0.2309632,0.25291726,0.166497976,0.173440352,5.81739E-05
01:39:08:01.071,61,0.002503454,0.041037459,0.02219848,0,0,0.161612272,0.123362176,0.002506585,0.040780347,0.108980879,0,0,0.161714211,0.123410001,0.041308593,0,0.031534586,0.210525274,0.092449114,0.125843555,0.059227008,0,0.010675592,0.168924153,0.188614383,0,0,0.039729994,0.043594785,0.127267689,0.133694753,0.054897923,0.030540504,0.062467832,0.048540574,0.041919332,0.039945822,0.439889789,0.44603914,0.114450246,0.120229833,0,0,0.16200161,0.044191916,0.044327721,0.023627132,0.230648518,0.252595276,0.179493532,0.184319705,3.79698E-05
01:39:08:02.071,61,0.002303725,0.064486064,0.015996177,0,0,0.15003404,0.102886774,0.002306607,0.064158745,0.115290009,0,0,0.150089175,0.102955096,0.041380175,0,0.034694891,0.205892131,0.078422427,0.131162062,0.055273879,0,0.009648793,0.169796079,0.1866934,0,0,0.040223815,0.043998066,0.125542224,0.132673547,0.052436948,0.030749615,0.059221491,0.047879811,0.041108087,0.039208416,0.42403993,0.429314464,0.129000098,0.134634078,0,0,0.158488408,0.020879623,0.020880377,0.021839239,0.225717977,0.249086812,0.183709264,0.188064069,3.87129E-05
01:39:08:03.072,61,0.002120016,0.100987583,0.00962811,0,0,0.127398655,0.067277014,0.00212267,0.100541905,0.121307969,0,0,0.127425417,0.067366295,0.041209251,0,0.036047101,0.136469141,0.07123939,0.133716986,0.054207303,0,0.008846656,0.17019473,0.185147375,0,0,0.040437151,0.044128269,0.123943798,0.131923929,0.051629879,0.030493703,0.072413348,0.058546603,0.041109718,0.039221898,0.306705356,0.314731479,0.13764666,0.142773897,0.014433999,0.014331813,0.149741635,0,0,0.020869225,0.22287856,0.247206733,0.189633369,0.192475349,3.43981E-05
01:39:08:04.072,61,0.00213643,0.134097815,0.000211146,0,0,0.109033294,0.036015779,0.00213804,0.133504048,0.130320698,0,0,0.109039366,0.036087845,0.041343473,0,0.037244611,0.131344497,0.067560241,0.134939417,0.053858109,0,0.007956216,0.176188842,0.183948562,0,0,0.040697653,0.044290125,0.123213507,0.131792024,0.051334113,0.030057672,0.077893905,0.065645427,0.041413799,0.039508022,0.298479646,0.306320638,0.163477898,0.162081584,0.030744683,0.030638874,0.14699395,0,0,0.020096971,0.221304923,0.245223731,0.193149343,0.194542602,2.84981E-05
01:39:08:05.072,61,0.003748231,0.169051111,0,0.013511007,0,0.094467133,0.01847966,0.003719836,0.16823563,0.14408496,0,0,0.094465956,0.018543722,0.042253893,0,0.039863799,0.171197876,0.065695837,0.137775421,0.054846168,0,0.007223747,0.186971143,0.183281019,0,0,0.041053984,0.044540692,0.122844845,0.132048085,0.051131439,0.029549148,0.080450147,0.06944681,0.041993778,0.040014934,0.315538734,0.32820487,0.181543335,0.181555659,0.039588004,0.039496567,0.145559773,0,0,0.019475356,0.220411763,0.244384512,0.19515574,0.195876911,1.61451E-05
01:39:08:06.072,61,0.055219658,0.191193536,0,0.02061417,0,0.08085604,0,0.055185098,0.190231785,0.150996134,0,0,0.080853567,0,0.050353937,0,0.04423859,0.236217618,0.064909712,0.139213339,0.055518646,0,0.006777354,0.190313175,0.182607144,0,0,0.041666392,0.045060635,0.123368666,0.137916938,0.050941661,0.029121419,0.081312232,0.071006864,0.042457894,0.040386818,0.349960178,0.369357884,0.188072607,0.188153178,0.038962971,0.038924541,0.145174801,0,0,0.018898146,0.196739748,0.220974162,0.195906192,0.196205854,1.37733E-05
