    Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll
02:23:22:13.799,61,7.72e-08,0.0433190875,0.0902609304,0.0,0.0,0.1461313218,0.0754576698,7.72e-08,0.0431931131,0.040641848,0.0,0.0,0.1461314559,0.075729765,0.0363301486,0.0,0.0066167759,0.0946295112,0.1210586727,0.0571136996,0.0923797488,0.0057834517,0.0,0.1470690817,0.174999699,0.0,0.0,0.0528284162,0.0562513545,0.1169885695,0.1213475466,0.0830181167,0.0430378616,0.0981751829,0.0509213768,0.0582449287,0.0554929301,0.143457666,0.1392626166,0.0248753577,0.0262267012,0.0227180477,0.0220658444,0.1449670196,0.0,0.0,0.0356866121,0.1613049209,0.1643470675,0.1109997556,0.1195292398,0.0005072926,0.0251350775,-0.1114677191,0.1699428111
02:23:22:14.799,61,7.1e-08,0.0429389551,0.0894094929,0.0,0.0,0.1464904845,0.0760630593,7.1e-08,0.0428106524,0.0415367149,0.0,0.0,0.1464906633,0.0763357878,0.0362266414,0.0,0.006627202,0.0945990831,0.1210843101,0.0568805486,0.0922996998,0.0058937436,0.0,0.1466935873,0.1744564772,0.0,0.0,0.0527221076,0.0561268814,0.1169288903,0.121309489,0.0831963718,0.0430309959,0.0981220603,0.0508714058,0.0582655966,0.0555004068,0.1437638104,0.1395534575,0.0247270614,0.0260467604,0.023671316,0.0229899045,0.1449577212,0.0,0.0,0.0358019248,0.1612292081,0.1642821431,0.1109963208,0.1194091216,0.0005452473,0.025344504,-0.1121896058,0.1707459837
02:23:22:15.799,61,6.54e-08,0.0437277146,0.087942645,0.0,0.0,0.1467925757,0.0759294406,6.54e-08,0.0435970649,0.0430590138,0.0,0.0,0.1467927694,0.0762028471,0.0360549167,0.0,0.0066092648,0.0944060385,0.1208925471,0.056506671,0.0922999457,0.0059909169,0.0,0.1462311745,0.1738738269,0.0,0.0,0.0525297374,0.0559103042,0.116665706,0.1210525781,0.0833794847,0.0429716371,0.0980972722,0.0508329011,0.0583139956,0.0555344224,0.1437259763,0.139497295,0.0245544985,0.0258425288,0.0306397881,0.0298878085,0.1448691338,0.0,0.0,0.0359260067,0.1610635519,0.1641281545,0.1111036539,0.1194123775,0.0005873241,0.0255162474,-0.1134196147,0.1715897918
02:23:22:16.800,61,6.02e-08,0.1034680903,0.0866343379,0.0,0.0,0.1321987361,0.0763477534,6.02e-08,0.1033895388,0.0458994955,0.0,0.0,0.1321983486,0.0766230747,0.0358183943,0.0,0.006642078,0.0943262354,0.1209779754,0.0561311021,0.0922329575,0.0060245721,0.0,0.1466808319,0.1742489636,0.0,0.0,0.0523134843,0.0556684136,0.116528593,0.1208814979,0.0834745243,0.042713657,0.0980224237,0.0508199818,0.0583053157,0.0554693192,0.1466058344,0.1439716518,0.0246368479,0.0258972421,0.037853308,0.0369643457,0.1480974406,0.0,0.0,0.0359068774,0.1611184776,0.1642823964,0.1155328974,0.1240276396,0.0004630539,0.0255086888,-0.1142633706,0.1720511019
02:23:22:17.800,61,5.54e-08,0.1349357218,0.0882646888,0.0,0.0,0.1243309975,0.0661875978,5.54e-08,0.1348942071,0.0454822034,0.0,0.0,0.1243285313,0.0664558336,0.0354868881,0.0,0.0068543684,0.0940655321,0.1208363622,0.0556363575,0.0920922011,0.0060020648,0.0,0.148100242,0.1747637093,0.0,0.0,0.0520958528,0.0554014184,0.1160592064,0.1203880832,0.0835347921,0.0423525535,0.0980837569,0.0509628691,0.0585373826,0.0556108877,0.1477413476,0.1455471814,0.0248406474,0.0260724835,0.092868723,0.0919215232,0.1481601149,0.0,0.0,0.0357879512,0.1611504853,0.1643147022,0.1214221492,0.1299973279,0.0004139915,0.0252273977,-0.115385212,0.173512727
02:23:22:18.800,61,0.0358466581,0.1500097066,0.0863810405,0.0,0.0,0.1208809465,0.0066829436,0.0354536399,0.1499659717,0.0482899472,0.0,0.0,0.1208770722,0.0071902014,0.0351288244,0.0,0.0073888721,0.0935979486,0.1202142164,0.0552082658,0.0921239331,0.0058492273,0.0,0.1488730162,0.1749282032,0.0,0.0,0.0519271344,0.0551286079,0.1131602526,0.116992414,0.0833507702,0.0419669971,0.0984592661,0.0513549149,0.0623062104,0.0580375008,0.1496765018,0.1475104988,0.0251986701,0.0264130216,0.2240432501,0.2231964916,0.1480245441,0.0,0.0,0.0354561135,0.1612469852,0.1642929465,0.1348022372,0.1441729814,0.0003680293,0.025576653,-0.116970174,0.1745672971
02:23:22:19.800,61,0.0784118399,0.1600754112,0.0883245319,0.0,0.0,0.1192852855,0.0,0.0782963634,0.1600499004,0.0479150712,0.0,0.0,0.119279556,0.0,0.034674637,0.0,0.0088926954,0.0927911773,0.1156507581,0.0546475835,0.0924279839,0.0055829179,0.0,0.1491010487,0.1713598967,0.0,0.0,0.0518249162,0.0548943803,0.1078440994,0.1118659973,0.0830907077,0.0416159593,0.1007902399,0.051963646,0.0699786171,0.0640123934,0.1541271061,0.1520621926,0.0255945604,0.0267982893,0.4158417284,0.4151648283,0.1558727026,0.0,0.0,0.0349762999,0.1608563662,0.16252397,0.145996362,0.1542469114,0.0003042055,0.0262691472,-0.1161865294,0.1750403047
02:23:22:20.800,61,0.0954769924,0.1730818003,0.0867808834,0.0,0.0,0.1187036261,0.0,0.0953063294,0.1730504334,0.0506004468,0.0,0.0,0.1186955422,0.0,0.0341734774,0.0,0.0105631575,0.0916688591,0.1110761091,0.0541373603,0.0927761942,0.0051711253,0.0,0.1491739601,0.168902576,0.0,0.0,0.0517708473,0.054709509,0.1044366062,0.1087387949,0.082661815,0.0412245244,0.1038957685,0.053427428,0.0746236518,0.0681381598,0.1591708511,0.1584986895,0.0261436943,0.0273550637,0.5436092615,0.5430849195,0.1671928018,0.0,0.0,0.034455087,0.1604652107,0.1615885347,0.1532642394,0.1605520248,0.0002456106,0.0274866745,-0.1146380231,0.1750573516
02:23:22:21.800,61,0.1034377739,0.1741288751,0.0853656456,0.0,0.0,0.1186096445,0.0,0.103260465,0.1740852296,0.0521503873,0.0,0.0,0.1185992435,0.0,0.0337024145,0.0,0.0117706712,0.0908317715,0.1087483466,0.0536750667,0.0930098742,0.004788158,0.0,0.1495224833,0.1678845286,0.0,0.0,0.0517268032,0.0545384884,0.1025210619,0.10689459,0.0821626931,0.0408404358,0.1053593233,0.0544104986,0.076906018,0.0701861456,0.1633349359,0.1629747748,0.0267644227,0.0279869847,0.5910432935,0.590572834,0.1725713462,0.0,0.0,0.0338926502,0.1603029072,0.1610419154,0.1570024788,0.1638765633,0.0002194481,0.028310623,-0.1127658859,0.174035579
02:23:22:22.800,61,0.107492663,0.1738033891,0.0859586447,0.0,0.0,0.1187645122,0.0,0.1073063985,0.1737640351,0.051703278,0.0,0.0,0.1187523529,0.0,0.0332574844,0.0,0.0126442332,0.0897354782,0.1070617288,0.0532176234,0.093253918,0.0045184265,0.0,0.1496924758,0.1670482308,0.0,0.0,0.0516633987,0.0543492809,0.1012062356,0.1055813283,0.0817961395,0.0404581614,0.1068859696,0.055270154,0.0787453875,0.0719325393,0.16500175,0.1647668481,0.0272924658,0.0285112839,0.5815222859,0.581030786,0.1761190444,0.0,0.0,0.0334224217,0.1601385176,0.160584271,0.1591011882,0.1657483429,0.0001906608,0.0286059193,-0.110994488,0.1737643331
