Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
15:38:16:05.539,61,0.127388,0.204286,0.714992,0.0,0.0,0.098219,0.0,0.119637,0.209669,0.0,0.612309,0.0,0.096266,0.0,0.109414,0.0,0.05006,0.620313,0.61472,0.060939,0.400105,0.005969,0.0,0.0,0.0,0.17943,0.163563,0.100277,0.098512,0.190046,0.20362,0.23355,0.211004,0.123381,0.057668,0.096013,0.067408,0.102552,0.126044,0.024996,0.026933,0.0,0.0,0.08754,0.000394,0.003422,0.043801,0.075849,0.074005,0.073543,0.09412,0.0
15:38:16:06.540,61,0.117784,0.197215,0.701643,0.0,0.0,0.099806,0.0,0.110115,0.202347,0.0,0.597737,0.0,0.097816,0.0,0.109756,0.0,0.05065,0.625248,0.617432,0.060462,0.400586,0.006488,0.0,0.0,0.0,0.181023,0.166153,0.099554,0.097912,0.191486,0.209197,0.235628,0.210147,0.124547,0.058423,0.096369,0.067836,0.102425,0.125571,0.024589,0.026537,0.000494,0.0,0.085847,0.0,0.002547,0.044055,0.075536,0.07423,0.07369,0.09426,0.0
15:38:16:07.539,61,0.114298,0.197223,0.712095,0.0,0.0,0.101008,0.0,0.106824,0.202421,0.0,0.608814,0.0,0.099001,0.0,0.110143,0.0,0.051419,0.639631,0.624268,0.060405,0.40623,0.006868,0.0,0.0,0.0,0.182415,0.16907,0.099077,0.097493,0.195342,0.216293,0.236517,0.20854,0.125475,0.059184,0.09666,0.06823,0.102662,0.125546,0.024315,0.026288,0.002221,0.0,0.084232,0.0,0.000934,0.044342,0.075301,0.074507,0.073922,0.094569,0.0
15:38:16:08.540,61,0.112233,0.195141,0.721012,0.0,0.0,0.101912,0.0,0.104876,0.200342,0.0,0.618225,0.0,0.099897,0.0,0.109903,0.0,0.052211,0.643085,0.625938,0.0603,0.409804,0.007038,0.0,0.0,0.0,0.182613,0.170001,0.09841,0.096871,0.196286,0.21842,0.231923,0.187294,0.126169,0.059925,0.096752,0.068469,0.10264,0.125244,0.024124,0.026121,0.004207,0.000938,0.082355,0.0,0.0,0.044603,0.075141,0.074767,0.074183,0.094906,0.0
15:38:16:09.540,61,0.111421,0.197344,0.716502,0.0,0.0,0.102424,0.0,0.104221,0.202596,0.0,0.612997,0.0,0.10042,0.0,0.107928,0.0,0.053009,0.622353,0.579144,0.060541,0.388287,0.006964,0.0,0.0,0.0,0.166383,0.155636,0.097756,0.096233,0.196707,0.219297,0.194173,0.157779,0.126203,0.060422,0.096405,0.068395,0.103094,0.125502,0.02418,0.02624,0.008805,0.005415,0.081098,0.0,0.0,0.044614,0.075142,0.075163,0.074588,0.095463,0.0
15:38:16:10.540,61,0.110713,0.192347,0.711516,0.0,0.0,0.102621,0.0,0.103654,0.197443,0.0,0.607537,0.0,0.10064,0.0,0.106985,0.0,0.053677,0.617342,0.567314,0.061065,0.37176,0.006985,0.0,0.0,0.0,0.159355,0.149205,0.097156,0.095638,0.197196,0.219863,0.183897,0.147584,0.125642,0.060688,0.094736,0.068031,0.105511,0.126601,0.024339,0.026462,0.010903,0.007513,0.080215,0.0,0.0,0.044402,0.075163,0.075514,0.074905,0.095906,0.0
15:38:16:11.540,61,0.110371,0.193514,0.705645,0.0,0.0,0.102742,0.0,0.103516,0.198607,0.0,0.601231,0.0,0.100803,0.0,0.106771,0.0,0.054378,0.615491,0.568918,0.065282,0.365333,0.006944,0.0,0.0,0.0,0.156197,0.146446,0.096955,0.095449,0.203576,0.224788,0.179093,0.142876,0.125171,0.060918,0.093924,0.067815,0.115433,0.135421,0.02459,0.026781,0.013133,0.00979,0.079645,0.0,0.0,0.044115,0.075645,0.07682,0.075509,0.098461,0.0
15:38:16:12.540,61,0.109961,0.189572,0.698174,0.0,0.0,0.102973,0.0,0.103323,0.194521,0.0,0.593192,0.0,0.10108,0.0,0.106839,0.0,0.05511,0.615051,0.575534,0.067101,0.363818,0.00683,0.0,0.0,0.0,0.1549,0.14553,0.096756,0.095261,0.205676,0.226838,0.182428,0.141113,0.125132,0.061373,0.093469,0.067775,0.118483,0.138055,0.024835,0.027089,0.01457,0.011278,0.079241,0.0,0.0,0.043904,0.076229,0.078066,0.076008,0.099635,0.0
15:38:16:13.541,61,0.108313,0.188614,0.697973,0.0,0.0,0.102599,0.0,0.10275,0.193538,0.0,0.592939,0.0,0.10076,0.0,0.10681,0.0,0.055669,0.613115,0.533753,0.070309,0.314908,0.006673,0.0,0.0,0.0,0.150706,0.136874,0.096568,0.095012,0.207346,0.227819,0.181479,0.136814,0.124595,0.061636,0.091436,0.067373,0.121947,0.141528,0.025314,0.02767,0.015703,0.01247,0.079046,0.0,0.0,0.043422,0.076848,0.078877,0.076482,0.100487,0.0
15:38:16:14.541,61,0.106474,0.190453,0.697581,0.0,0.0,0.10148,0.0,0.102013,0.195426,0.0,0.592457,0.0,0.099822,0.0,0.106617,0.0,0.056033,0.612072,0.559089,0.071655,0.370036,0.006347,0.0,0.0,0.0,0.149382,0.134683,0.096374,0.094865,0.206307,0.226247,0.181499,0.135842,0.124582,0.062106,0.090827,0.067362,0.123095,0.142462,0.025666,0.028085,0.016733,0.013557,0.078852,0.0,0.0,0.043298,0.077345,0.079416,0.076902,0.101202,0.0
