Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
15:38:22:02.565,61,0.0,0.4932829142,0.0,0.0505165569,0.0,0.0402344391,0.9389701486,0.0,0.4907858968,0.1723334342,0.0,0.0,0.0402653255,0.9389647245,0.0924617425,0.0311061926,0.0,0.9191187024,0.0532196015,0.1208417565,0.0665492043,0.0,0.033447016,0.0,0.0,0.4110203385,0.37878564,0.2132363319,0.250345856,0.8966184258,0.9091495275,0.0394394249,0.1185347363,0.0252731573,0.01773577,0.024743896,0.0283019934,0.7885800004,0.8136971593,0.0412262008,0.0449925289,0.0,0.0,0.8661299944,0.7335472703,0.7334781885,0.0199120007,0.0670703277,0.1064433232,0.1390782446,0.1313064098,1.8362e-06
15:38:22:03.565,61,0.0,0.4970599115,0.0,0.0458625518,0.0,0.0398638323,0.9369221926,0.0,0.4946404397,0.1678580344,0.0,0.0,0.0398941189,0.9369189143,0.0973746553,0.0314326994,0.0,0.9187439084,0.0497032963,0.1126695797,0.0597618222,0.0,0.0310944542,0.0,0.0,0.3280634582,0.3013936579,0.2158715427,0.2543824911,0.8968231678,0.9095163345,0.0392194241,0.0991204605,0.0253027156,0.0178114325,0.0247585736,0.0283833537,0.7900875807,0.8144745827,0.0619311444,0.0643599033,0.0,0.0,0.8661388159,0.7332777381,0.7332214117,0.0197848622,0.0727511942,0.115834102,0.1614382863,0.1504212767,2.2058e-06
15:38:22:04.565,61,0.0,0.4966530204,0.0,0.0443778895,0.0,0.0394242443,0.9288685322,0.0,0.4942604899,0.1665836424,0.0,0.0,0.0394540988,0.9288683534,0.1006811932,0.0314897336,0.0,0.9183544517,0.0472738631,0.1006531343,0.0515909828,0.0,0.0299147945,0.0,0.0,0.1101887152,0.071699962,0.2170055509,0.2560815811,0.8827974796,0.9044072628,0.0390063673,0.0888950974,0.0253006686,0.0178938732,0.0246313494,0.0282865986,0.7905541062,0.8145914674,0.0730316043,0.0769035891,0.0,0.0,0.8616143465,0.7302208543,0.7301899791,0.0194530617,0.0839937627,0.1363218576,0.1809304655,0.1739956439,2.0891e-06
15:38:22:05.565,61,0.0,0.4872384667,0.0,0.0339089707,0.0,0.0388309062,0.8787139058,0.0,0.485082835,0.1568324566,0.0,0.0,0.0388599597,0.878715992,0.1019887924,0.0210309029,0.0,0.9160990119,0.0448156111,0.0912133604,0.0447253361,0.0,0.0281771589,0.1805702746,0.2001743913,0.0,0.0,0.212543726,0.2402262092,0.824119091,0.8541798592,0.0386717878,0.073902294,0.0253564827,0.0181145072,0.024501171,0.0281126276,0.7909342051,0.8147614598,0.1302048266,0.132537812,0.0,0.0,0.75668329,0.641210556,0.6412038803,0.0189154465,0.1209961027,0.1669144779,0.2810591161,0.2732498944,1.6544e-06
15:38:22:06.565,61,0.0,0.4500409663,0.0,0.0196817592,0.0,0.0382748283,0.7625402808,0.0,0.4482733905,0.1438375711,0.0,0.0,0.0383023843,0.7625962496,0.1028218791,0.0111687649,0.0,0.9072408676,0.0426431857,0.0853492692,0.0391800739,0.0,0.0189884193,0.4256279469,0.4170877934,0.0,0.0,0.2106748372,0.2298817635,0.7510575652,0.7841131687,0.0383841358,0.0615759827,0.0256924853,0.0187608656,0.0247555915,0.0282741133,0.7910225391,0.8116111755,0.1920072585,0.1801521033,0.0,0.0,0.5835401416,0.4732303023,0.4734379351,0.0183051694,0.1752544492,0.207199946,0.3934909105,0.386877954,1.519e-06
15:38:22:07.565,61,0.0,0.4093003571,0.0,0.0145121403,0.0,0.0379493348,0.5697674155,0.0,0.4077630341,0.1386376321,0.0,0.0,0.0379750729,0.5698224306,0.1154118702,0.0,0.0325881094,0.8504295945,0.0413656868,0.0730948895,0.0341093726,0.0,0.0162061397,0.6521468759,0.639437139,0.0,0.0,0.180859521,0.1884754598,0.6700095534,0.7115932703,0.0380346328,0.0468469188,0.0273201335,0.0222388767,0.0281626787,0.0306831598,0.7363624573,0.7465859652,0.2320316285,0.2305990458,0.0,0.0,0.4021193981,0.2643490136,0.2647093832,0.017680943,0.2416202575,0.2736435533,0.4309506118,0.4262478948,5.78322e-05
15:38:22:08.566,61,0.0,0.3635514975,0.0,0.0211875997,0.0,0.038967859,0.3313435614,0.0,0.3620702922,0.144426614,0.0,0.0,0.0389869101,0.3313745558,0.1679195613,0.0,0.0444027409,0.819463253,0.0402740203,0.0625935197,0.0303636603,0.0,0.0165698975,0.7762380838,0.7760170698,0.0,0.0,0.1649229825,0.1731366068,0.6379327774,0.6664072871,0.0376175977,0.0363027081,0.0305692721,0.0276870355,0.0321897343,0.0346944742,0.7219688892,0.7293804288,0.3299431801,0.3386602104,0.0,0.0,0.2463642508,0.0490691327,0.049269259,0.0171002448,0.336717695,0.383051008,0.4929634333,0.4899875522,0.0001817743
15:38:22:09.566,61,0.1205356196,0.3311082125,0.0,0.0043932833,0.0,0.0452445,0.0426925942,0.1205501184,0.3300013542,0.1269606501,0.0,0.0,0.0452506058,0.0426842272,0.2956348956,0.0,0.0460934378,0.6619818807,0.0395871177,0.0579921529,0.0282955244,0.0,0.0226636007,0.841635108,0.8553873301,0.0,0.0,0.1589860618,0.1676915735,0.5292874575,0.5473201275,0.0372377262,0.030770544,0.0478778519,0.0497269705,0.053214971,0.0589308254,0.7608762383,0.7693254352,0.4457309246,0.4734211564,0.0970198512,0.0969461799,0.157960698,0.0,0.0,0.0164373107,0.4734824896,0.5263296962,0.514146924,0.5133442283,0.0002040028
15:38:22:10.566,61,0.1519675553,0.3177008927,0.0337188281,0.0,0.0,0.0575045943,0.0,0.1519956589,0.3171706498,0.0889368206,0.0,0.0,0.0574915335,0.0,0.3863334358,0.0,0.0487387404,0.5325490832,0.0387150981,0.055395335,0.026721254,0.0,0.0297532659,0.8712067008,0.8890145421,0.0,0.0,0.1561501026,0.1667400599,0.4585136771,0.4919198751,0.036979109,0.0273561887,0.0677001253,0.0763064772,0.0729768053,0.0774121955,0.7730836868,0.7847588658,0.5044003725,0.5376761556,0.1911336035,0.1911229938,0.118727468,0.0,0.0,0.0157588851,0.5442987084,0.5871475935,0.4780588746,0.4996119142,0.0002044269
15:38:22:11.566,61,0.1710762531,0.3160612583,0.0725224093,0.0,0.0,0.0673992708,0.0,0.1713358164,0.3160790503,0.0503465161,0.0,0.0,0.0673138574,0.0,0.3497894704,0.0,0.1180503294,0.4031938314,0.0375764631,0.0509617329,0.0256549418,0.0,0.0355071388,0.8864266872,0.9056822062,0.0,0.0,0.1569503993,0.1685522795,0.3724007607,0.4301415086,0.037049029,0.0255194027,0.0761236772,0.0851852372,0.0928939879,0.0951450169,0.7779366374,0.7911517024,0.5156605244,0.5326433182,0.2284085453,0.2284511477,0.0983754098,0.0,0.0,0.0151213938,0.5820000172,0.6145115495,0.4554457664,0.4412050545,0.0001504338
