Name,FrameNum,ByteNum,BitNum,bit_rate(bps)
1000000_30FPS_52BS_emotion-female_rounded,663,82815,662520,29978.280542986424
1000000_30FPS_52BS_talking-male_rounded,608,74401,595208,29368.815789473687
